0,1,2,3,4,5,6
"State/District
Pooling  
Identified	Potential	 
Maximum 
BESS (GW) 
Evacuation 
Station
(GW)
Dispatch 
(to be set up 
System  
(GW)
by RE  
(GW)
Wind
Solar 
generators)",,,,,,
Gujarat,,,,,,
"Off-shore
Mahuva / 
5
0
5
 0
5
Ubhrat",,,,,,
Maharashtra,,,,,,
Sholapur,Sholapur,0,1,1,0.5,0.5
Dhule,Dhule,1,1,1.5,0.3,1.2
Kallam,Kallam/Parli,1,1,1.5,0.3,1.2
Location to be firmed up*,,0,2.5,2.5,0,2.5
Sub Total (Maharashtra),,2,5.5,6.5,1.1,5.4
Madhya Pradesh,,,,,,
Neemuch,Neemuch,2,0,2,0,2
Sagar,Sagar,,1.5,1.5,0,1.5
Morena,Morena,0,3.9,3.9,0,3.9
Khandwa,Khandwa,,0.6,0.6,0,0.6
Sub Total (Madhya Pradesh),,2,6,8,0,8
Total (Western Region),,9,11.5,19.5,1.1,18.4
